Date,Ball1,Ball2,Ball3,Ball4,Ball5,Star1,Star2
1557788400,10,14,17,25,50,2,10
1557442800,1,4,27,45,48,1,7
1557183600,7,20,26,32,47,2,11
1556838000,2,9,20,27,43,5,6
1556578800,5,12,20,26,48,2,11
1556233200,14,33,35,47,50,9,11
1555974000,18,23,27,42,44,2,7
1555628400,7,8,32,41,49,5,11
1555369200,1,8,15,44,49,2,11
1555023600,1,28,35,36,46,6,9
1554764400,18,21,29,38,41,1,11
1554418800,1,7,10,29,45,3,5
1554159600,2,9,16,26,36,6,7
1553817600,13,23,26,32,47,6,10
1553558400,12,19,23,43,47,2,6
1553212800,4,17,26,30,43,6,11
1552953600,1,6,9,34,47,7,12
1552608000,3,15,24,42,46,9,12
1552348800,5,7,13,19,31,2,9
1552003200,17,18,19,24,40,4,8
1551744000,6,10,16,39,46,8,11
1551398400,6,9,19,26,31,11,12
1551139200,3,15,29,35,47,3,4
1550793600,3,27,29,33,50,3,7
1550534400,1,8,18,19,39,7,9
1550188800,15,27,34,38,49,2,10
1549929600,6,34,36,41,50,1,5
1549584000,11,12,13,39,46,7,10
1549324800,14,25,31,37,43,2,3
1548979200,3,21,26,41,46,1,6
1548720000,14,24,26,32,39,3,8
1548374400,1,6,13,15,16,6,10
1548115200,9,23,29,41,49,8,10
1547769600,5,6,16,30,46,5,10
1547510400,22,25,29,33,35,3,6
1547164800,1,19,31,39,48,1,6
1546905600,3,19,22,31,32,2,11
1546560000,7,11,19,27,37,6,10
1546300800,1,8,11,25,28,4,6
1545955200,13,16,34,35,45,10,12
1545696000,4,5,8,31,43,2,9
1545350400,2,12,15,34,50,3,4
1545091200,1,9,18,39,48,5,7
1544745600,12,29,38,42,44,2,12
1544486400,4,7,13,23,42,1,3
1544140800,11,17,26,37,48,1,10
1543881600,19,20,21,42,45,8,9
1543536000,3,10,12,23,26,1,12
1543276800,4,16,17,18,32,2,11
1542931200,5,8,25,26,30,3,10
1542672000,6,19,39,45,48,7,12
1542326400,9,10,13,28,41,1,12
1542067200,2,7,10,13,42,3,6
1541721600,14,17,32,37,49,11,12
1541462400,14,24,36,40,43,2,9
1541116800,5,15,17,37,44,7,11
1540857600,17,23,27,43,44,1,12
1540508400,5,18,21,31,35,6,9
1540249200,1,2,5,21,32,2,12
1539903600,1,3,29,47,48,3,12
1539644400,15,28,37,40,42,1,6
1539298800,4,9,12,31,43,5,8
1539039600,3,12,36,44,45,8,11
1538694000,8,16,24,26,35,3,11
1538434800,7,17,29,37,45,3,11
1538089200,2,4,8,27,50,2,9
1537830000,6,15,20,30,38,4,7
1537484400,5,7,21,25,37,3,4
1537225200,3,8,10,32,45,4,12
1536879600,1,3,33,40,45,3,4
1536620400,9,18,32,38,46,2,3
1536274800,4,23,27,31,50,1,8
1536015600,5,14,28,30,47,4,11
1535670000,4,30,31,38,42,4,6
1535410800,4,16,32,42,46,8,12
1535065200,3,14,31,36,50,1,12
1534806000,16,23,42,43,49,10,12
1534460400,2,15,18,24,43,8,12
1534201200,1,15,18,25,31,9,11
1533855600,18,20,36,43,44,3,9
1533596400,16,28,29,30,36,8,10
1533250800,7,26,36,38,43,6,12
1532991600,20,25,34,42,45,6,11
1532646000,11,17,22,23,41,6,11
1532386800,2,4,23,39,40,3,9
1532041200,2,15,40,43,46,3,6
1531782000,4,6,27,48,50,1,11
1531436400,1,4,14,21,49,2,12
1531177200,3,8,26,33,45,7,10
1530831600,8,30,33,38,48,2,10
1530572400,1,12,15,29,48,3,5
1530226800,15,21,23,40,48,3,12
1529967600,15,16,20,34,50,4,7
1529622000,14,25,39,41,44,2,8
1529362800,7,19,26,42,50,4,9
1529017200,23,26,33,38,49,1,12
1528758000,7,21,23,36,38,6,8
1528412400,8,19,32,43,46,2,8
1528153200,9,15,22,39,46,4,5
1527807600,17,18,24,29,40,4,5
1527548400,6,11,20,38,43,2,4
1527202800,13,15,16,28,41,4,5
1526943600,1,11,37,41,48,8,12
1526598000,5,8,10,13,31,3,6
1526338800,4,16,20,31,39,2,12
1525993200,3,22,34,49,50,8,11
1525734000,17,25,35,39,44,2,5
1525388400,6,12,23,39,45,9,12
1525129200,6,15,17,42,48,4,6
1524783600,12,24,40,41,46,5,12
1524524400,20,23,28,30,44,3,7
1524178800,3,16,25,39,44,7,11
1523919600,15,27,33,39,50,4,6
1523574000,5,25,34,48,50,6,7
1523314800,14,27,39,46,48,11,12
1522969200,1,29,33,45,47,4,8
1522710000,3,8,16,40,43,5,8
1522364400,12,17,28,35,47,7,11
1522105200,17,20,23,40,46,9,10
1521763200,5,7,11,46,50,8,11
1521504000,26,29,37,39,44,9,11
1521158400,4,17,24,27,31,10,11
1520899200,9,11,13,33,49,6,12
1520553600,9,14,21,32,44,1,12
1520294400,15,20,26,31,44,2,9
1519948800,2,7,34,45,48,1,12
1519689600,3,31,41,48,50,8,11
1519344000,10,17,18,28,47,3,7
1519084800,6,14,19,25,29,5,11
1518739200,10,12,23,32,50,4,10
1518480000,10,13,17,21,44,1,10
1518134400,22,31,36,38,44,1,11
1517875200,8,17,28,34,38,6,12
1517529600,14,34,36,39,48,2,3
1517270400,11,15,21,27,35,4,5
1516924800,6,15,24,28,48,4,9
1516665600,5,8,9,23,24,7,8
1516320000,3,8,17,44,50,2,7
1516060800,20,23,31,34,46,3,12
1515715200,13,21,23,30,45,4,6
1515456000,6,12,15,38,49,2,9
1515110400,2,5,20,38,41,4,8
1514851200,10,20,21,28,48,1,8
1514505600,4,8,22,23,48,1,12
1514246400,4,17,30,43,44,2,10
1513900800,5,24,30,31,43,3,6
1513641600,8,15,30,38,46,4,7
1513296000,25,30,31,42,50,2,11
1513036800,20,37,39,44,50,4,8
